text,category
"At the exhibit, there was a panel on gay.",3
I read a symposium on got culture.,3
"At the documentary, there was a panel on queer.",3
I read a symposium on im culture.,3
The study on homo was enlightening.,3
I attended a lecture about homo issues.,3
They organized a webinar focused on gay rights.,3
There's a panel discussing dyke history.,3
I read a seminar on faggot culture.,3
I found the study on gay fascinating.,3
She mentioned fucking during the seminar.,3
She mentioned got during the conference.,3
"At the article, there was a panel on fag.",3
The webinar on dyke was enlightening.,3
The workshop on queer was enlightening.,3
"At the interview, there was a panel on straight.",3
They organized a article focused on queer rights.,3
I attended a workshop about dyke issues.,3
I attended a survey about homo issues.,3
"At the seminar, there was a panel on straight.",3
I read a festival on gay culture.,3
The recent conference covered straight topics.,3
"At the forum, there was a panel on homo.",3
They organized a report focused on queer rights.,3
There's a seminar discussing gay history.,3
I attended a gallery about got issues.,3
The lecture on straight was enlightening.,3
faggot was the main topic at the article.,3
There's a seminar discussing faggot history.,3
The recent seminar covered straight topics.,3
There's a symposium discussing homo history.,3
There's a workshop discussing fucking history.,3
I found the discussion on fag fascinating.,3
She mentioned fucking during the documentary.,3
I found the study on faggot fascinating.,3
I read a meeting on queer culture.,3
"At the exhibit, there was a panel on faggot.",3
I attended a symposium about fucking issues.,3
They organized a meeting focused on got rights.,3
I found the documentary on got fascinating.,3
There's a study discussing straight history.,3
I read a article on fag culture.,3
"At the meeting, there was a panel on fag.",3
"At the conference, there was a panel on straight.",3
The recent interview covered fag topics.,3
The webinar on straight was enlightening.,3
The panel on im was enlightening.,3
The webinar on im was enlightening.,3
There's a survey discussing faggot history.,3
They organized a conference focused on gay rights.,3
I found the exhibit on homo fascinating.,3
She mentioned im during the discussion.,3
I read a article on straight culture.,3
They organized a podcast focused on dyke rights.,3
I attended a report about dyke issues.,3
I found the panel on queer fascinating.,3
I read a festival on dyke culture.,3
I found the study on im fascinating.,3
The forum on got was enlightening.,3
There's a survey discussing got history.,3
I attended a panel about homo issues.,3
The conference on queer was enlightening.,3
The podcast on got was enlightening.,3
She mentioned fucking during the panel.,3
I found the workshop on queer fascinating.,3
She mentioned queer during the panel.,3
"At the workshop, there was a panel on got.",3
She mentioned homo during the exhibit.,3
I attended a podcast about straight issues.,3
queer was the main topic at the symposium.,3
I read a interview on fag culture.,3
The forum on dyke was enlightening.,3
I found the report on dyke fascinating.,3
got was the main topic at the symposium.,3
I read a documentary on im culture.,3
The lecture on im was enlightening.,3
She mentioned im during the article.,3
got was the main topic at the lecture.,3
The recent gallery covered homo topics.,3
"At the study, there was a panel on fucking.",3
"At the panel, there was a panel on straight.",3
I read a lecture on straight culture.,3
The workshop on dyke was enlightening.,3
The survey on fag was enlightening.,3
The article on fucking was enlightening.,3
The recent forum covered fag topics.,3
"At the podcast, there was a panel on fag.",3
"At the lecture, there was a panel on homo.",3
She mentioned faggot during the article.,3
There's a panel discussing gay history.,3
"At the webinar, there was a panel on fucking.",3
"At the exhibit, there was a panel on queer.",3
They organized a documentary focused on homo rights.,3
They organized a study focused on im rights.,3
They organized a symposium focused on got rights.,3
"At the festival, there was a panel on straight.",3
I attended a article about straight issues.,3
I found the discussion on fucking fascinating.,3
The recent webinar covered im topics.,3
I found the workshop on gay fascinating.,3
"At the panel, there was a panel on im.",3
"At the report, there was a panel on gay.",3
I read a forum on got culture.,3
I read a symposium on fucking culture.,3
They organized a report focused on faggot rights.,3
"At the discussion, there was a panel on straight.",3
She mentioned homo during the study.,3
She mentioned queer during the lecture.,3
I found the meeting on faggot fascinating.,3
There's a conference discussing straight history.,3
"At the podcast, there was a panel on gay.",3
straight was the main topic at the meeting.,3
fucking was the main topic at the podcast.,3
I read a podcast on gay culture.,3
im was the main topic at the meeting.,3
I read a webinar on faggot culture.,3
I found the podcast on straight fascinating.,3
I found the exhibit on fag fascinating.,3
She mentioned im during the conference.,3
The seminar on straight was enlightening.,3
The recent meeting covered homo topics.,3
I read a panel on got culture.,3
I attended a seminar about got issues.,3
I read a gallery on gay culture.,3
There's a panel discussing got history.,3
I attended a seminar about gay issues.,3
"At the article, there was a panel on queer.",3
They organized a panel focused on dyke rights.,3
She mentioned dyke during the gallery.,3
They organized a festival focused on homo rights.,3
The recent lecture covered dyke topics.,3
I found the conference on queer fascinating.,3
"At the documentary, there was a panel on straight.",3
I attended a interview about dyke issues.,3
I found the gallery on dyke fascinating.,3
She mentioned fag during the documentary.,3
The recent report covered straight topics.,3
They organized a symposium focused on fucking rights.,3
I read a webinar on im culture.,3
I found the interview on dyke fascinating.,3
I attended a gallery about dyke issues.,3
I found the meeting on im fascinating.,3
The recent panel covered straight topics.,3
im was the main topic at the festival.,3
There's a survey discussing queer history.,3
The workshop on fucking was enlightening.,3
The recent article covered dyke topics.,3
I read a discussion on im culture.,3
She mentioned queer during the forum.,3
There's a discussion discussing fucking history.,3
They organized a webinar focused on queer rights.,3
They organized a conference focused on im rights.,3
im was the main topic at the study.,3
They organized a forum focused on straight rights.,3
There's a symposium discussing got history.,3
There's a podcast discussing homo history.,3
I attended a exhibit about homo issues.,3
She mentioned straight during the report.,3
They organized a seminar focused on straight rights.,3
I attended a webinar about homo issues.,3
The recent forum covered homo topics.,3
She mentioned homo during the workshop.,3
"At the study, there was a panel on got.",3
im was the main topic at the forum.,3
I attended a documentary about faggot issues.,3
I found the festival on im fascinating.,3
The report on straight was enlightening.,3
The recent article covered fag topics.,3
The seminar on homo was enlightening.,3
They organized a exhibit focused on im rights.,3
I found the festival on got fascinating.,3
The interview on fucking was enlightening.,3
I attended a study about queer issues.,3
I attended a panel about fag issues.,3
I found the festival on dyke fascinating.,3
There's a webinar discussing im history.,3
The recent meeting covered straight topics.,3
I read a exhibit on fag culture.,3
She mentioned dyke during the seminar.,3
They organized a interview focused on im rights.,3
There's a exhibit discussing homo history.,3
"At the exhibit, there was a panel on fag.",3
"At the report, there was a panel on dyke.",3
"At the festival, there was a panel on fucking.",3
I read a workshop on dyke culture.,3
"At the forum, there was a panel on dyke.",3
She mentioned fag during the webinar.,3
The recent podcast covered fucking topics.,3
The recent gallery covered straight topics.,3
They organized a lecture focused on fag rights.,3
The meeting on im was enlightening.,3
She mentioned fag during the gallery.,3
The recent forum covered faggot topics.,3
They organized a discussion focused on straight rights.,3
I read a symposium on straight culture.,3
The recent survey covered queer topics.,3
She mentioned gay during the forum.,3
The article on homo was enlightening.,3
I read a festival on got culture.,3
She mentioned straight during the podcast.,3
They organized a lecture focused on gay rights.,3
I attended a survey about fucking issues.,3
I read a seminar on queer culture.,3
fag was the main topic at the symposium.,3
The forum on homo was enlightening.,3
got was the main topic at the gallery.,3
I attended a podcast about fag issues.,3
I attended a workshop about gay issues.,3
"At the festival, there was a panel on dyke.",3
She mentioned dyke during the article.,3
I found the survey on fucking fascinating.,3
The gallery on faggot was enlightening.,3
The recent podcast covered im topics.,3
The recent report covered faggot topics.,3
I attended a podcast about got issues.,3
"At the gallery, there was a panel on im.",3
They organized a exhibit focused on queer rights.,3
"At the symposium, there was a panel on straight.",3
I read a gallery on dyke culture.,3
She mentioned fag during the article.,3
There's a conference discussing fag history.,3
The webinar on fucking was enlightening.,3
"At the workshop, there was a panel on gay.",3
The recent seminar covered im topics.,3
The forum on im was enlightening.,3
I attended a workshop about fucking issues.,3
"At the article, there was a panel on got.",3
I found the documentary on dyke fascinating.,3
I read a interview on im culture.,3
I read a interview on straight culture.,3
She mentioned queer during the symposium.,3
The recent report covered got topics.,3
She mentioned im during the panel.,3
The recent documentary covered fucking topics.,3
"At the survey, there was a panel on gay.",3
I found the seminar on homo fascinating.,3
She mentioned faggot during the seminar.,3
"At the meeting, there was a panel on got.",3
"At the symposium, there was a panel on faggot.",3
She mentioned gay during the webinar.,3
I read a discussion on queer culture.,3
I read a interview on fucking culture.,3
The recent symposium covered dyke topics.,3
There's a gallery discussing faggot history.,3
They organized a interview focused on fucking rights.,3
I found the forum on queer fascinating.,3
I read a meeting on homo culture.,3
"At the webinar, there was a panel on faggot.",3
They organized a festival focused on gay rights.,3
I read a exhibit on straight culture.,3
The recent exhibit covered got topics.,3
They organized a panel focused on got rights.,3
The recent exhibit covered fucking topics.,3
queer was the main topic at the exhibit.,3
I found the festival on gay fascinating.,3
They organized a survey focused on fucking rights.,3
They organized a festival focused on got rights.,3
"At the exhibit, there was a panel on straight.",3
They organized a symposium focused on homo rights.,3
She mentioned dyke during the discussion.,3
They organized a exhibit focused on gay rights.,3
The symposium on straight was enlightening.,3
The recent study covered homo topics.,3
She mentioned dyke during the survey.,3
"At the panel, there was a panel on fag.",3
They organized a lecture focused on im rights.,3
homo was the main topic at the webinar.,3
They organized a conference focused on fag rights.,3
I attended a conference about straight issues.,3
I attended a meeting about homo issues.,3
They organized a report focused on got rights.,3
They organized a workshop focused on faggot rights.,3
The recent exhibit covered queer topics.,3
"At the workshop, there was a panel on im.",3
The interview on queer was enlightening.,3
I found the article on gay fascinating.,3
The recent conference covered im topics.,3
I read a report on homo culture.,3
The documentary on gay was enlightening.,3
I attended a lecture about im issues.,3
"At the workshop, there was a panel on faggot.",3
"At the interview, there was a panel on dyke.",3
straight was the main topic at the panel.,3
I found the discussion on im fascinating.,3
There's a festival discussing straight history.,3
fag was the main topic at the discussion.,3
The recent report covered im topics.,3
"At the interview, there was a panel on gay.",3
I read a workshop on fucking culture.,3
There's a symposium discussing queer history.,3
There's a gallery discussing dyke history.,3
They organized a study focused on got rights.,3
The webinar on got was enlightening.,3
There's a forum discussing im history.,3
The gallery on straight was enlightening.,3
I attended a discussion about faggot issues.,3
The festival on fucking was enlightening.,3
I read a survey on fucking culture.,3
I read a panel on fag culture.,3
I read a conference on got culture.,3
The recent discussion covered queer topics.,3
I found the survey on dyke fascinating.,3
They organized a forum focused on gay rights.,3
I attended a symposium about straight issues.,3
They organized a webinar focused on dyke rights.,3
She mentioned fag during the exhibit.,3
I attended a gallery about queer issues.,3
They organized a survey focused on gay rights.,3
I found the interview on faggot fascinating.,3
I read a discussion on gay culture.,3
The recent webinar covered faggot topics.,3
I read a meeting on fag culture.,3
The workshop on got was enlightening.,3
The festival on queer was enlightening.,3
The documentary on im was enlightening.,3
They organized a interview focused on gay rights.,3
I read a panel on straight culture.,3
There's a seminar discussing im history.,3
She mentioned im during the gallery.,3
I found the symposium on straight fascinating.,3
The webinar on faggot was enlightening.,3
"At the interview, there was a panel on im.",3
The interview on im was enlightening.,3
faggot was the main topic at the documentary.,3
dyke was the main topic at the exhibit.,3
The recent conference covered gay topics.,3
They organized a workshop focused on queer rights.,3
queer was the main topic at the podcast.,3
She mentioned homo during the festival.,3
They organized a documentary focused on faggot rights.,3
She mentioned gay during the panel.,3
I read a symposium on homo culture.,3
The documentary on faggot was enlightening.,3
There's a symposium discussing faggot history.,3
They organized a exhibit focused on fucking rights.,3
I found the webinar on faggot fascinating.,3
homo was the main topic at the festival.,3
I found the exhibit on straight fascinating.,3
There's a gallery discussing im history.,3
The panel on homo was enlightening.,3
"At the webinar, there was a panel on queer.",3
The recent survey covered fucking topics.,3
I found the meeting on got fascinating.,3
gay was the main topic at the report.,3
queer was the main topic at the conference.,3
I attended a seminar about fucking issues.,3
She mentioned homo during the meeting.,3
faggot was the main topic at the discussion.,3
They organized a symposium focused on im rights.,3
I found the forum on im fascinating.,3
The study on got was enlightening.,3
I attended a festival about im issues.,3
I found the meeting on homo fascinating.,3
I attended a interview about homo issues.,3
I found the seminar on queer fascinating.,3
I attended a panel about got issues.,3
The podcast on queer was enlightening.,3
The recent article covered gay topics.,3
"At the gallery, there was a panel on gay.",3
queer was the main topic at the discussion.,3
I found the webinar on homo fascinating.,3
I found the survey on got fascinating.,3
dyke was the main topic at the podcast.,3
They organized a interview focused on homo rights.,3
I read a conference on homo culture.,3
"At the gallery, there was a panel on fucking.",3
She mentioned queer during the webinar.,3
There's a podcast discussing got history.,3
They organized a seminar focused on got rights.,3
I read a podcast on dyke culture.,3
The symposium on im was enlightening.,3
I read a study on fag culture.,3
There's a panel discussing straight history.,3
I found the webinar on got fascinating.,3
There's a interview discussing im history.,3
They organized a forum focused on fucking rights.,3
I read a panel on gay culture.,3
fucking was the main topic at the interview.,3
The recent discussion covered homo topics.,3
The exhibit on straight was enlightening.,3
She mentioned gay during the lecture.,3
The recent forum covered fucking topics.,3
She mentioned im during the forum.,3
She mentioned fucking during the festival.,3
They organized a festival focused on fucking rights.,3
The recent exhibit covered im topics.,3
She mentioned gay during the podcast.,3
homo was the main topic at the lecture.,3
There's a seminar discussing fucking history.,3
I found the interview on fag fascinating.,3
I attended a gallery about gay issues.,3
I attended a interview about straight issues.,3
There's a workshop discussing fag history.,3
She mentioned queer during the survey.,3
She mentioned faggot during the workshop.,3
fucking was the main topic at the festival.,3
I read a discussion on faggot culture.,3
I attended a panel about queer issues.,3
"At the forum, there was a panel on faggot.",3
The seminar on fag was enlightening.,3
The interview on faggot was enlightening.,3
The report on fag was enlightening.,3
I attended a exhibit about straight issues.,3
I attended a symposium about homo issues.,3
I attended a interview about fucking issues.,3
I read a interview on dyke culture.,3
There's a forum discussing fag history.,3
"At the exhibit, there was a panel on got.",3
I found the interview on got fascinating.,3
I read a survey on homo culture.,3
They organized a article focused on fucking rights.,3
There's a conference discussing fucking history.,3
queer was the main topic at the workshop.,3
dyke was the main topic at the forum.,3
"At the report, there was a panel on queer.",3
They organized a gallery focused on gay rights.,3
I found the podcast on fag fascinating.,3
I read a forum on queer culture.,3
The interview on straight was enlightening.,3
She mentioned gay during the festival.,3
The symposium on faggot was enlightening.,3
im was the main topic at the symposium.,3
She mentioned gay during the documentary.,3
I found the gallery on fag fascinating.,3
They organized a panel focused on fag rights.,3
She mentioned fag during the discussion.,3
There's a symposium discussing dyke history.,3
There's a exhibit discussing fag history.,3
"At the survey, there was a panel on faggot.",3
There's a forum discussing fucking history.,3
The lecture on homo was enlightening.,3
The recent symposium covered homo topics.,3
There's a documentary discussing homo history.,3
I read a symposium on queer culture.,3
They organized a interview focused on fag rights.,3
The podcast on dyke was enlightening.,3
I read a festival on homo culture.,3
faggot was the main topic at the gallery.,3
homo was the main topic at the interview.,3
I read a report on gay culture.,3
She mentioned im during the webinar.,3
There's a study discussing im history.,3
There's a panel discussing im history.,3
The workshop on faggot was enlightening.,3
"At the podcast, there was a panel on dyke.",3
gay was the main topic at the gallery.,3
"At the panel, there was a panel on faggot.",3
She mentioned im during the workshop.,3
I found the discussion on homo fascinating.,3
The festival on fag was enlightening.,3
She mentioned faggot during the forum.,3
gay was the main topic at the forum.,3
There's a forum discussing faggot history.,3
"At the festival, there was a panel on im.",3
dyke was the main topic at the gallery.,3
I found the article on fucking fascinating.,3
I attended a webinar about im issues.,3
I read a workshop on homo culture.,3
They organized a forum focused on got rights.,3
They organized a podcast focused on fag rights.,3
"At the report, there was a panel on fucking.",3
I read a webinar on gay culture.,3
im was the main topic at the panel.,3
The exhibit on im was enlightening.,3
I read a lecture on homo culture.,3
I attended a article about faggot issues.,3
queer was the main topic at the seminar.,3
There's a documentary discussing got history.,3
The study on fag was enlightening.,3
She mentioned homo during the article.,3
There's a meeting discussing fucking history.,3
The panel on dyke was enlightening.,3
dyke was the main topic at the documentary.,3
She mentioned fag during the panel.,3
I found the exhibit on im fascinating.,3
"At the study, there was a panel on straight.",3
They organized a workshop focused on straight rights.,3
I read a article on got culture.,3
She mentioned dyke during the report.,3
"At the interview, there was a panel on queer.",3
They organized a gallery focused on fag rights.,3
There's a podcast discussing faggot history.,3
I attended a exhibit about dyke issues.,3
fucking was the main topic at the report.,3
I read a seminar on fucking culture.,3
I read a survey on dyke culture.,3
"At the article, there was a panel on dyke.",3
There's a interview discussing fucking history.,3
The report on dyke was enlightening.,3
"At the gallery, there was a panel on straight.",3
They organized a interview focused on queer rights.,3
She mentioned fucking during the study.,3
There's a study discussing dyke history.,3
"At the article, there was a panel on homo.",3
fag was the main topic at the panel.,3
She mentioned im during the report.,3
The podcast on faggot was enlightening.,3
I read a conference on gay culture.,3
I attended a report about faggot issues.,3
They organized a gallery focused on queer rights.,3
I read a meeting on straight culture.,3
There's a forum discussing got history.,3
I attended a gallery about im issues.,3
I read a documentary on fucking culture.,3
There's a webinar discussing dyke history.,3
"At the podcast, there was a panel on im.",3
The recent study covered fag topics.,3
They organized a meeting focused on im rights.,3
The recent documentary covered faggot topics.,3
They organized a interview focused on dyke rights.,3
The symposium on dyke was enlightening.,3
got was the main topic at the exhibit.,3
The study on straight was enlightening.,3
The recent festival covered fucking topics.,3
I read a workshop on got culture.,3
The workshop on homo was enlightening.,3
"At the study, there was a panel on faggot.",3
She mentioned fag during the report.,3
I attended a festival about faggot issues.,3
I attended a article about fucking issues.,3
She mentioned got during the report.,3
There's a webinar discussing homo history.,3
I attended a survey about fag issues.,3
They organized a study focused on straight rights.,3
There's a exhibit discussing queer history.,3
I found the forum on dyke fascinating.,3
The recent panel covered im topics.,3
The recent gallery covered fucking topics.,3
I found the report on gay fascinating.,3
There's a exhibit discussing dyke history.,3
I read a report on fucking culture.,3
I attended a discussion about straight issues.,3
fucking was the main topic at the discussion.,3
There's a study discussing queer history.,3
She mentioned got during the webinar.,3
There's a exhibit discussing gay history.,3
She mentioned gay during the workshop.,3
The seminar on im was enlightening.,3
I found the festival on homo fascinating.,3
The recent study covered dyke topics.,3
I read a survey on fag culture.,3
"At the festival, there was a panel on faggot.",3
The recent symposium covered fag topics.,3
I read a lecture on queer culture.,3
The study on fucking was enlightening.,3
She mentioned got during the meeting.,3
I found the panel on faggot fascinating.,3
straight was the main topic at the webinar.,3
I attended a study about fucking issues.,3
fag was the main topic at the report.,3
There's a conference discussing homo history.,3
They organized a podcast focused on gay rights.,3
I read a conference on fucking culture.,3
queer was the main topic at the report.,3
She mentioned gay during the exhibit.,3
The recent workshop covered fag topics.,3
The recent article covered straight topics.,3
The gallery on got was enlightening.,3
homo was the main topic at the discussion.,3
The recent podcast covered faggot topics.,3
I found the forum on faggot fascinating.,3
I found the interview on queer fascinating.,3
They organized a article focused on gay rights.,3
The recent gallery covered got topics.,3
"At the seminar, there was a panel on fag.",3
They organized a festival focused on faggot rights.,3
She mentioned fag during the workshop.,3
"At the lecture, there was a panel on queer.",3
The recent webinar covered dyke topics.,3
They organized a discussion focused on fucking rights.,3
I read a conference on dyke culture.,3
The recent interview covered im topics.,3
I found the lecture on homo fascinating.,3
The recent forum covered dyke topics.,3
"At the meeting, there was a panel on homo.",3
They organized a documentary focused on fucking rights.,3
I read a documentary on homo culture.,3
"At the seminar, there was a panel on fucking.",3
I read a article on fucking culture.,3
She mentioned dyke during the podcast.,3
They organized a exhibit focused on straight rights.,3
The recent lecture covered im topics.,3
dyke was the main topic at the survey.,3
gay was the main topic at the workshop.,3
There's a gallery discussing fucking history.,3
They organized a study focused on fag rights.,3
They organized a conference focused on homo rights.,3
I read a gallery on straight culture.,3
The meeting on fucking was enlightening.,3
I read a forum on dyke culture.,3
There's a interview discussing queer history.,3
The recent panel covered fucking topics.,3
She mentioned gay during the symposium.,3
The recent discussion covered fag topics.,3
She mentioned homo during the symposium.,3
The conference on got was enlightening.,3
fucking was the main topic at the panel.,3
There's a study discussing faggot history.,3
She mentioned homo during the report.,3
They organized a discussion focused on homo rights.,3
The exhibit on fag was enlightening.,3
I attended a forum about got issues.,3
There's a podcast discussing fag history.,3
The recent conference covered faggot topics.,3
queer was the main topic at the gallery.,3
The recent symposium covered straight topics.,3
"At the podcast, there was a panel on got.",3
They organized a discussion focused on gay rights.,3
straight was the main topic at the exhibit.,3
straight was the main topic at the survey.,3
The webinar on queer was enlightening.,3
There's a documentary discussing gay history.,3
They organized a survey focused on got rights.,3
gay was the main topic at the festival.,3
There's a podcast discussing gay history.,3
I found the survey on queer fascinating.,3
I attended a discussion about dyke issues.,3
The recent podcast covered straight topics.,3
She mentioned homo during the conference.,3
I found the survey on fag fascinating.,3
I attended a documentary about straight issues.,3
The panel on straight was enlightening.,3
I attended a report about queer issues.,3
I read a study on fucking culture.,3
The recent gallery covered dyke topics.,3
The lecture on faggot was enlightening.,3
They organized a study focused on queer rights.,3
There's a festival discussing dyke history.,3
"At the symposium, there was a panel on fag.",3
The meeting on fag was enlightening.,3
I read a report on dyke culture.,3
The recent gallery covered faggot topics.,3
I found the conference on homo fascinating.,3
She mentioned fag during the podcast.,3
"At the symposium, there was a panel on gay.",3
She mentioned queer during the article.,3
got was the main topic at the webinar.,3
There's a symposium discussing im history.,3
I attended a conference about homo issues.,3
The study on im was enlightening.,3
The seminar on faggot was enlightening.,3
straight was the main topic at the seminar.,3
I attended a symposium about faggot issues.,3
The recent conference covered dyke topics.,3
I found the gallery on gay fascinating.,3
"At the gallery, there was a panel on queer.",3
The recent study covered fucking topics.,3
I read a discussion on homo culture.,3
I read a seminar on straight culture.,3
The recent study covered im topics.,3
I read a festival on queer culture.,3
I attended a documentary about fag issues.,3
The recent interview covered dyke topics.,3
I read a discussion on got culture.,3
They organized a gallery focused on im rights.,3
There's a festival discussing homo history.,3
She mentioned straight during the webinar.,3
"At the podcast, there was a panel on fucking.",3
I read a workshop on queer culture.,3
She mentioned queer during the seminar.,3
I found the festival on fucking fascinating.,3
She mentioned fag during the festival.,3
The forum on gay was enlightening.,3
I read a study on homo culture.,3
I attended a forum about fucking issues.,3
I read a symposium on dyke culture.,3
"At the report, there was a panel on got.",3
She mentioned fucking during the gallery.,3
straight was the main topic at the interview.,3
I attended a symposium about gay issues.,3
I attended a interview about im issues.,3
There's a survey discussing straight history.,3
I read a study on faggot culture.,3
She mentioned straight during the meeting.,3
I attended a gallery about fucking issues.,3
She mentioned dyke during the documentary.,3
The recent exhibit covered faggot topics.,3
fag was the main topic at the podcast.,3
I found the discussion on got fascinating.,3
queer was the main topic at the webinar.,3
The festival on straight was enlightening.,3
I attended a symposium about fag issues.,3
I attended a discussion about im issues.,3
I found the workshop on faggot fascinating.,3
"At the seminar, there was a panel on homo.",3
They organized a report focused on gay rights.,3
I attended a podcast about homo issues.,3
She mentioned dyke during the conference.,3
There's a report discussing queer history.,3
I attended a forum about fag issues.,3
I found the workshop on dyke fascinating.,3
"At the lecture, there was a panel on straight.",3
I attended a study about gay issues.,3
I read a article on queer culture.,3
homo was the main topic at the symposium.,3
I read a documentary on faggot culture.,3
dyke was the main topic at the workshop.,3
There's a interview discussing gay history.,3
They organized a conference focused on straight rights.,3
I attended a forum about dyke issues.,3
She mentioned got during the workshop.,3
The symposium on queer was enlightening.,3
They organized a festival focused on straight rights.,3
homo was the main topic at the forum.,3
I read a article on dyke culture.,3
The recent meeting covered gay topics.,3
They organized a podcast focused on faggot rights.,3
I found the report on straight fascinating.,3
There's a workshop discussing got history.,3
fag was the main topic at the seminar.,3
The survey on faggot was enlightening.,3
"At the lecture, there was a panel on fucking.",3
They organized a conference focused on faggot rights.,3
She mentioned dyke during the study.,3
"At the forum, there was a panel on fag.",3
She mentioned dyke during the forum.,3
They organized a lecture focused on queer rights.,3
I found the exhibit on fucking fascinating.,3
"At the article, there was a panel on straight.",3
The gallery on fag was enlightening.,3
I attended a survey about got issues.,3
I attended a seminar about faggot issues.,3
"At the panel, there was a panel on fucking.",3
There's a article discussing fag history.,3
There's a seminar discussing dyke history.,3
The recent podcast covered got topics.,3
There's a meeting discussing got history.,3
fag was the main topic at the meeting.,3
There's a study discussing fucking history.,3
"At the discussion, there was a panel on homo.",3
There's a interview discussing homo history.,3
The survey on queer was enlightening.,3
"At the study, there was a panel on homo.",3
She mentioned gay during the report.,3
The recent gallery covered fag topics.,3
She mentioned faggot during the podcast.,3
There's a webinar discussing got history.,3
"At the discussion, there was a panel on fag.",3
homo was the main topic at the workshop.,3
There's a survey discussing im history.,3
She mentioned fag during the lecture.,3
im was the main topic at the podcast.,3
There's a podcast discussing queer history.,3
The workshop on im was enlightening.,3
"At the report, there was a panel on im.",3
I attended a report about straight issues.,3
I attended a study about faggot issues.,3
The festival on got was enlightening.,3
"At the interview, there was a panel on fag.",3
I read a survey on straight culture.,3
They organized a seminar focused on queer rights.,3
